,Airport,Rank,CARRIER_NAME,DEPARTURES_PERFORMED,PERCENT_DEPARTURES,PLANES/DAY,PASSENGERS,AIRLINE_ID
0,Logan,1,JetBlue Airways,26704,39.13935627601571,73.16164383561645,3536390,20409
1,Logan,2,Delta Air Lines Inc.,10103,14.807703582107054,27.67945205479452,1576231,19790
2,Logan,3,American Airlines Inc.,7527,11.032127572257725,20.621917808219177,1151888,19805
3,Logan,4,United Air Lines Inc.,6074,8.90250337105001,16.64109589041096,886542,19977
4,Logan,5,Southwest Airlines Co.,3179,4.659377381720115,8.70958904109589,419606,19393
5,Logan,6,Alaska Airlines Inc.,2956,4.332532098258779,8.098630136986301,429638,19930
6,Logan,7,Spirit Air Lines,2930,4.294424576420238,8.027397260273972,450149,20416
7,Logan,8,British Airways Plc,1319,1.9332238963475405,3.6136986301369864,287834,19540
8,Logan,9,Republic Airline,1128,1.6532801782259483,3.0904109589041098,58105,20452
9,Logan,10,Aer Lingus Plc,929,1.3616110687694203,2.5452054794520547,229102,19623
10,Logan,11,Lufthansa German Airlines,852,1.248754177170663,2.334246575342466,230225,19554
11,Logan,12,Virgin Atlantic Airways,678,0.9937269156358094,1.8575342465753424,133548,19682
12,Logan,13,Compania Panamena (Copa),615,0.90138945887319,1.6849315068493151,66001,19770
13,Logan,14,Hainan Airlines Company Limited,530,0.776807175939497,1.452054794520548,113184,21271
14,Logan,15,Swiss International Airlines,488,0.715248871431084,1.336986301369863,93238,20233
15,Logan,16,Icelandair,485,0.7108518496804831,1.3287671232876712,101411,19546
16,Logan,17,Frontier Airlines Inc.,473,0.6932637626780794,1.295890410958904,78078,20436
17,Logan,18,Iberia Air Lines Of Spain,428,0.6273084364190655,1.1726027397260275,106928,19547
18,Logan,19,Compagnie Natl Air France,425,0.6229114146684646,1.1643835616438356,112832,19532
19,Logan,20,Sata Internacional,405,0.593597936331125,1.1095890410958904,66427,20360
0,Bradley,1,JetBlue Airways,3197,29.24709541670478,8.758904109589041,408081,20409
1,Bradley,2,Southwest Airlines Co.,2421,22.14801939438295,6.632876712328767,324171,19393
2,Bradley,3,Spirit Air Lines,1562,14.289634983075656,4.279452054794521,217833,20416
3,Bradley,4,American Airlines Inc.,1135,10.383313512030007,3.1095890410958904,158369,19805
4,Bradley,5,Delta Air Lines Inc.,980,8.965327966334279,2.684931506849315,110510,19790
5,Bradley,6,United Air Lines Inc.,377,3.448906778885738,1.0328767123287672,55822,19977
6,Bradley,7,Mesa Airlines Inc.,352,3.2201994328057815,0.9643835616438357,24471,20378
7,Bradley,8,Aer Lingus Plc,283,2.588967157625103,0.7753424657534247,42394,19623
8,Bradley,9,Endeavor Air Inc.,268,2.451742749977129,0.7342465753424657,16991,20363
9,Bradley,10,Frontier Airlines Inc.,249,2.2779251669563627,0.6821917808219178,41200,20436
10,Bradley,11,SkyWest Airlines Inc.,83,0.7593083889854542,0.2273972602739726,5096,20304
11,Bradley,12,Sun Country Airlines d/b/a MN Airlines,14,0.1280761138047754,0.038356164383561646,1790,20422
12,Bradley,13,Alaska Airlines Inc.,3,0.02744488152959473,0.00821917808219178,500,19930
13,Bradley,14,Miami Air International,2,0.018296587686396488,0.005479452054794521,322,20402
14,Bradley,15,Ameristar Air Cargo,1,0.009148293843198244,0.0027397260273972603,48,20201
15,Bradley,16,Allegiant Air,1,0.009148293843198244,0.0027397260273972603,96,20368
16,Bradley,17,Virgin Atlantic Airways,1,0.009148293843198244,0.0027397260273972603,224,19682
17,Bradley,18,British Airways Plc,1,0.009148293843198244,0.0027397260273972603,207,19540
18,Bradley,19,Republic Airline,1,0.009148293843198244,0.0027397260273972603,40,20452
0,TF Green,1,Southwest Airlines Co.,2259,50.022143489814,6.189041095890411,293324,19393
1,TF Green,2,JetBlue Airways,1266,28.033658104517272,3.4684931506849317,155844,20409
2,TF Green,3,Frontier Airlines Inc.,478,10.58458813108946,1.3095890410958904,82233,20436
3,TF Green,4,Sun Country Airlines d/b/a MN Airlines,163,3.609388839681134,0.4465753424657534,18869,20422
4,TF Green,5,Norwegian Air International Ltd.,150,3.3215234720992024,0.410958904109589,19081,21823
5,TF Green,6,Allegiant Air,101,2.2364924712134635,0.27671232876712326,16295,20368
6,TF Green,7,American Airlines Inc.,82,1.815766164747564,0.22465753424657534,9083,19805
7,TF Green,8,Delta Air Lines Inc.,5,0.11071744906997344,0.0136986301369863,640,19790
8,TF Green,9,Miami Air International,3,0.06643046944198405,0.00821917808219178,265,20402
9,TF Green,10,Republic Airline,2,0.04428697962798937,0.005479452054794521,128,20452
10,TF Green,11,United Air Lines Inc.,2,0.04428697962798937,0.005479452054794521,315,19977
11,TF Green,12,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1,0.022143489813994686,0.0027397260273972603,30,21635
12,TF Green,13,Spirit Air Lines,1,0.022143489813994686,0.0027397260273972603,180,20416
13,TF Green,14,Mesa Airlines Inc.,1,0.022143489813994686,0.0027397260273972603,38,20378
14,TF Green,15,Ameristar Air Cargo,1,0.022143489813994686,0.0027397260273972603,44,20201
15,TF Green,16,Atlas Air Inc.,1,0.022143489813994686,0.0027397260273972603,166,20007
