SYS_FIELD_NAME,FIELD_DESC
YEAR,Year
ORIGIN_AIRPORT_ID,"Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
ORIGIN_CITY_MARKET_ID,"Origin Airport, City Market ID. City Market ID is an identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market."
ORIGIN,Origin Airport
ORIGIN_CITY_NAME,Origin City
ORIGIN_COUNTRY,"Origin Airport, Country"
DEST_AIRPORT_ID,"Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused."
DEST_CITY_MARKET_ID,"Destination Airport, City Market ID. City Market ID is an identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market."
DEST,Destination Airport
DEST_CITY_NAME,Destination City
DEST_COUNTRY,"Destination Airport, Country"
UNIQUE_CARRIER,"Unique Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years."
AIRLINE_ID,"An identification number assigned by US DOT to identify a unique airline (carrier). A unique airline (carrier) is defined as one holding and reporting under the same DOT certificate regardless of its Code, Name, or holding company/corporation."
UNIQUE_CARRIER_NAME,"Unique Carrier Name. When the same name has been used by multiple carriers, a numeric suffix is used for earlier users, for example, Air Caribbean, Air Caribbean (1)."
UNIQUE_CARRIER_ENTITY,Unique Entity for a Carrier's Operation Region.
REGION,Carrier's Operation Region. Carriers Report Data by Operation Region
CARRIER,"Code assigned by IATA and commonly used to identify a carrier. As the same code may have been assigned to different carriers over time, the code is not always unique. For analysis, use the Unique Carrier Code."
CARRIER_NAME,Carrier Name
CARRIER_GROUP,Carrier Group Code.  Used in Legacy Analysis
CARRIER_GROUP_NEW,Carrier Group New
DISTANCE_GROUP,"Distance Intervals, every 500 Miles, for Flight Segment"
CLASS,Service Class
AIRCRAFT_GROUP,Aircraft Group
AIRCRAFT_TYPE,Aircraft Type
AIRCRAFT_CONFIG,Aircraft Configuration
DEPARTURES_PERFORMED,Departures Performed
PAYLOAD,Available Payload (pounds)
SEATS,Available Seats
PASSENGERS,Non-Stop Segment Passengers Transported
FREIGHT,Non-Stop Segment Freight Transported (pounds)
MAIL,Non-Stop Segment Mail Transported (pounds)
DISTANCE,Distance between airports (miles)
RAMP_TO_RAMP,Ramp to Ramp Time (minutes)
AIR_TIME,Airborne Time (minutes)
