rundate,report_period,airport_name,this_year_pax,this_year_total_pax,Five_years_prev_pax,Five_years_prev_pax_total
17/03/2020 09:36,2019,HEATHROW,80886589,296839124,73371096,238385452
17/03/2020 09:36,2019,GATWICK,46574786,296839124,38093878,238385452
17/03/2020 09:36,2019,MANCHESTER,29367477,296839124,21950223,238385452
17/03/2020 09:36,2019,STANSTED,28124292,296839124,19958047,238385452
17/03/2020 09:36,2019,LUTON,18213901,296839124,10481501,238385452
17/03/2020 09:36,2019,EDINBURGH,14733966,296839124,10158906,238385452
17/03/2020 09:36,2019,BIRMINGHAM,12646456,296839124,9698488,238385452
17/03/2020 09:36,2019,BRISTOL,8959679,296839124,6333006,238385452
17/03/2020 09:36,2019,GLASGOW,8843214,296839124,7708867,238385452
17/03/2020 09:36,2019,BELFAST INTERNATIONAL,6278374,296839124,4031685,238385452
17/03/2020 09:36,2019,NEWCASTLE,5198952,296839124,4512976,238385452
17/03/2020 09:36,2019,LONDON CITY,5122271,296839124,3647824,238385452
17/03/2020 09:36,2019,LIVERPOOL (JOHN LENNON),5043975,296839124,3984023,238385452
17/03/2020 09:36,2019,EAST MIDLANDS INTERNATIONAL,4674338,296839124,4506791,238385452
17/03/2020 09:36,2019,LEEDS BRADFORD,3992209,296839124,3263247,238385452
17/03/2020 09:36,2019,ABERDEEN,2912743,296839124,3723411,238385452
17/03/2020 09:36,2019,BELFAST CITY (GEORGE BEST),2455259,296839124,2555111,238385452
17/03/2020 09:36,2019,SOUTHEND,2035535,296839124,1102260,238385452
17/03/2020 09:36,2019,SOUTHAMPTON,1781308,296839124,1829575,238385452
17/03/2020 09:36,2019,CARDIFF WALES,1654920,296839124,1019545,238385452
17/03/2020 09:36,2019,DONCASTER SHEFFIELD,1407862,296839124,724252,238385452
17/03/2020 09:36,2019,EXETER,1021705,296839124,766572,238385452
17/03/2020 09:36,2019,INVERNESS,937728,296839124,611373,238385452
17/03/2020 09:36,2019,BOURNEMOUTH,803127,296839124,660374,238385452
17/03/2020 09:36,2019,PRESTWICK,638975,296839124,912399,238385452
17/03/2020 09:36,2019,NORWICH,530328,296839124,458931,238385452
17/03/2020 09:36,2019,NEWQUAY,461469,296839124,219167,238385452
17/03/2020 09:36,2019,SUMBURGH,267420,296839124,262626,238385452
17/03/2020 09:36,2019,CITY OF DERRY (EGLINTON),203777,296839124,350257,238385452
17/03/2020 09:36,2019,HUMBERSIDE,201818,296839124,237329,238385452
17/03/2020 09:36,2019,KIRKWALL,161516,296839124,150877,238385452
17/03/2020 09:36,2019,TEESSIDE INTERNATIONAL AIRPORT,147824,296839124,142274,238385452
17/03/2020 09:36,2019,STORNOWAY,129500,296839124,127237,238385452
17/03/2020 09:36,2019,SCATSTA,109480,296839124,279799,238385452
17/03/2020 09:36,2019,ISLES OF SCILLY (ST.MARYS),93927,296839124,90944,238385452
17/03/2020 09:36,2019,LANDS END (ST JUST),63847,296839124,44284,238385452
17/03/2020 09:36,2019,ISLAY,34771,296839124,27412,238385452
17/03/2020 09:36,2019,BENBECULA,34656,296839124,31190,238385452
17/03/2020 09:36,2019,DUNDEE,20917,296839124,22069,238385452
17/03/2020 09:36,2019,BLACKPOOL,15213,296839124,223998,238385452
17/03/2020 09:36,2019,BARRA,14599,296839124,10521,238385452
17/03/2020 09:36,2019,WICK JOHN O GROATS,12892,296839124,27633,238385452
17/03/2020 09:36,2019,TIREE,11944,296839124,9026,238385452
17/03/2020 09:36,2019,CAMPBELTOWN,7975,296839124,9331,238385452
17/03/2020 09:36,2019,LERWICK (TINGWALL),3309,296839124,3591,238385452
17/03/2020 09:36,2019,BIGGIN HILL,2262,296839124,497,238385452
17/03/2020 09:36,2019,LYDD,39,296839124,1194,238385452
17/03/2020 09:36,2019,CAMBRIDGE,0,296839124,20663,238385452
17/03/2020 09:36,2019,GLOUCESTERSHIRE,0,296839124,15141,238385452
17/03/2020 09:36,2019,MANSTON (KENT INT),0,296839124,12385,238385452
17/03/2020 09:36,2019,OXFORD (KIDLINGTON),0,296839124,1194,238385452
17/03/2020 09:36,2019,SHOREHAM,0,296839124,452,238385452

